DATE,RATIO
1971-01-01,0.253735185
1971-04-01,0.262172251
1971-07-01,0.252122735
1971-10-01,0.249449273
1972-01-01,0.268729331
1972-04-01,0.269564703
1972-07-01,0.267265955
1972-10-01,0.272266076
1973-01-01,0.252981884
1973-04-01,0.225720635
1973-07-01,0.231259772
1973-10-01,0.212566531
1974-01-01,0.202093913
1974-04-01,0.177789335
1974-07-01,0.142462819
1974-10-01,0.139486668
1975-01-01,0.161170584
1975-04-01,0.180825242
1975-07-01,0.167936336
1975-10-01,0.169033403
1976-01-01,0.187026154
1976-04-01,0.187170578
1976-07-01,0.188958669
1976-10-01,0.187974102
1977-01-01,0.181493009
1977-04-01,0.176420012
1977-07-01,0.172049144
1977-10-01,0.166765481
1978-01-01,0.159008747
1978-04-01,0.167758193
1978-07-01,0.177420907
1978-10-01,0.158993244
1979-01-01,0.168182885
1979-04-01,0.172907363
1979-07-01,0.182624025
1979-10-01,0.184025255
1980-01-01,0.187473392
1980-04-01,0.184063047
1980-07-01,0.21039106
1980-10-01,0.222057977
1981-01-01,0.210917543
1981-04-01,0.217020806
1981-07-01,0.201900044
1981-10-01,0.196642802
1982-01-01,0.183855157
1982-04-01,0.181946804
1982-07-01,0.181002224
1982-10-01,0.21944059
1983-01-01,0.237352605
1983-04-01,0.259942945
1983-07-01,0.259738906
1983-10-01,0.251905358
1984-01-01,0.236096157
1984-04-01,0.223634293
1984-07-01,0.228180576
1984-10-01,0.233207783
1985-01-01,0.249915403
1985-04-01,0.259895063
1985-07-01,0.263377443
1985-10-01,0.272130643
1986-01-01,0.303479382
1986-04-01,0.332755807
1986-07-01,0.328362889
1986-10-01,0.326844964
1987-01-01,0.371200526
1987-04-01,0.381383766
1987-07-01,0.406859546
1987-10-01,0.318157153
1988-01-01,0.323498056
1988-04-01,0.328322516
1988-07-01,0.330546087
1988-10-01,0.33281744
1989-01-01,0.348476082
1989-04-01,0.372520183
1989-07-01,0.401354891
1989-10-01,0.402387619
1990-01-01,0.383274139
1990-04-01,0.392027292
1990-07-01,0.373094737
1990-10-01,0.350183215
1991-01-01,0.395803817
1991-04-01,0.426580657
1991-07-01,0.432815359
1991-10-01,0.438325207
1992-01-01,0.468815289
1992-04-01,0.455114164
1992-07-01,0.456806144
1992-10-01,0.464381638
1993-01-01,0.489696269
1993-04-01,0.48953419
1993-07-01,0.501606153
1993-10-01,0.508031169
1994-01-01,0.510755922
1994-04-01,0.482276382
1994-07-01,0.488598172
1994-10-01,0.481684477
1995-01-01,0.500073483
1995-04-01,0.541459231
1995-07-01,0.585998703
1995-10-01,0.611371147
1996-01-01,0.643528881
1996-04-01,0.665010357
1996-07-01,0.653069762
1996-10-01,0.703279362
1997-01-01,0.746026061
1997-04-01,0.760932032
1997-07-01,0.856361543
1997-10-01,0.875692965
1998-01-01,0.92596642
1998-04-01,0.989567763
1998-07-01,0.933604297
1998-10-01,0.936157522
1999-01-01,1.043705746
1999-04-01,1.093592454
1999-07-01,1.086210601
1999-10-01,1.103864948
2000-01-01,1.182555463
2000-04-01,1.136243384
2000-07-01,1.164159886
2000-10-01,1.055370887
2001-01-01,0.97752273
2001-04-01,0.940239416
2001-07-01,0.884608212
2001-10-01,0.851283109
2002-01-01,0.866909541
2002-04-01,0.824638711
2002-07-01,0.686615535
2002-10-01,0.676376262
2003-01-01,0.654860166
2003-04-01,0.712383833
2003-07-01,0.756356262
2003-10-01,0.794774037
2004-01-01,0.846783836
2004-04-01,0.829015063
2004-07-01,0.803078818
2004-10-01,0.842614654
2005-01-01,0.853868331
2005-04-01,0.842645399
2005-07-01,0.870988869
2005-10-01,0.867859718
2006-01-01,0.898076923
2006-04-01,0.892791495
2006-07-01,0.885527655
2006-10-01,0.949973366
2007-01-01,0.973319651
2007-04-01,1.013949831
2007-07-01,0.999588393
2007-10-01,1
2008-01-01,0.907814124
2008-04-01,0.9221743
2008-07-01,0.849508841
2008-10-01,0.623523649
2009-01-01,0.567437435
2009-04-01,0.639902984
2009-07-01,0.718027627
2009-10-01,0.776799347
2010-01-01,0.807795382
2010-04-01,0.814488656
2010-07-01,0.782052604
2010-10-01,0.862226066
2011-01-01,0.935971378
2011-04-01,0.938990752
2011-07-01,0.867080098
2011-10-01,0.855519962
2012-01-01,0.936417968
2012-04-01,0.929255688
2012-07-01,0.959967475
2012-10-01,0.972664932
2013-01-01,1.040164245
2013-04-01,1.105531769
2013-07-01,1.149762878
2013-10-01,1.206246914
2014-01-01,1.262377645
2014-04-01,1.278116577
2014-07-01,1.309346975
2014-10-01,1.320529225
2015-01-01,1.358037464
2015-04-01,1.373887162
2015-07-01,1.318545867
2015-10-01,1.323902589
2016-01-01,1.246589021
2016-04-01,1.32391877
2016-07-01,1.381476987
2016-10-01,1.396528623
2017-01-01,1.481683664
2017-04-01,1.515211096
2017-07-01,1.545099801
2017-10-01,1.618407454
2018-01-01,1.687697062
2018-04-01,1.65556024
2018-07-01,.
